reference no	sample no	contributor	enterer	created	sample name	country	state	ecozone	land mass	latitude	longitude	altitude value	altitude unit	habitat	altered habitat	protection	disturbance	MAT	CMT	WMT	MAP	life_form	genus	qualifier	species	count	count 2	relative abundance	count per day	mass (g)	comments
111	264	John Alroy	Albert Garcia Selles	2013-04-08 10:27:12	Ledges State Park	United States	Iowa	Nearctic		41.990845	-93.883347			temperate broadleaf/mixed forest		national/state park		10.65	-2.600	23.900	1220.0	bats	Myotis		lucifugus	24		0.045198		7.38192455932396	
111	264	John Alroy	Albert Garcia Selles	2013-04-08 10:27:12	Ledges State Park	United States	Iowa	Nearctic		41.990845	-93.883347			temperate broadleaf/mixed forest		national/state park		10.65	-2.600	23.900	1220.0	bats	Myotis		keenii	91		0.171375		4.71188913487309	
111	264	John Alroy	Albert Garcia Selles	2013-04-08 10:27:12	Ledges State Park	United States	Iowa	Nearctic		41.990845	-93.883347			temperate broadleaf/mixed forest		national/state park		10.65	-2.600	23.900	1220.0	bats	Lasionycteris		noctivagans	21		0.039548		10.0048612435133	
111	264	John Alroy	Albert Garcia Selles	2013-04-08 10:27:12	Ledges State Park	United States	Iowa	Nearctic		41.990845	-93.883347			temperate broadleaf/mixed forest		national/state park		10.65	-2.600	23.900	1220.0	bats	Perimyotis		subflavus	2		0.003766		5.63697692180364	"Pipistrellus subflavus"
111	264	John Alroy	Albert Garcia Selles	2013-04-08 10:27:12	Ledges State Park	United States	Iowa	Nearctic		41.990845	-93.883347			temperate broadleaf/mixed forest		national/state park		10.65	-2.600	23.900	1220.0	bats	Eptesicus		fuscus	302		0.568738		17.1991968695187	
111	264	John Alroy	Albert Garcia Selles	2013-04-08 10:27:12	Ledges State Park	United States	Iowa	Nearctic		41.990845	-93.883347			temperate broadleaf/mixed forest		national/state park		10.65	-2.600	23.900	1220.0	bats	Lasiurus		borealis	60		0.112994		11.505737518208	
111	264	John Alroy	Albert Garcia Selles	2013-04-08 10:27:12	Ledges State Park	United States	Iowa	Nearctic		41.990845	-93.883347			temperate broadleaf/mixed forest		national/state park		10.65	-2.600	23.900	1220.0	bats	Lasiurus		cinereus	29		0.054614		20.6786166566328	
111	264	John Alroy	Albert Garcia Selles	2013-04-08 10:27:12	Ledges State Park	United States	Iowa	Nearctic		41.990845	-93.883347			temperate broadleaf/mixed forest		national/state park		10.65	-2.600	23.900	1220.0	bats	Nycticeius		humeralis	2		0.003766		9.85257983150158	
111	265	John Alroy	Albert Garcia Selles	2013-04-08 10:29:14	Lower Honey Creek	United States	Iowa	Nearctic		42.016678	-93.900009			temperate broadleaf/mixed forest	secondary forest			10.65	-2.600	23.900	1220.0	bats	Myotis		lucifugus	82		0.121842		7.38192455932396	
111	265	John Alroy	Albert Garcia Selles	2013-04-08 10:29:14	Lower Honey Creek	United States	Iowa	Nearctic		42.016678	-93.900009			temperate broadleaf/mixed forest	secondary forest			10.65	-2.600	23.900	1220.0	bats	Myotis		keenii	118		0.175334		4.71188913487309	
111	265	John Alroy	Albert Garcia Selles	2013-04-08 10:29:14	Lower Honey Creek	United States	Iowa	Nearctic		42.016678	-93.900009			temperate broadleaf/mixed forest	secondary forest			10.65	-2.600	23.900	1220.0	bats	Lasionycteris		noctivagans	64		0.095097		10.0048612435133	
111	265	John Alroy	Albert Garcia Selles	2013-04-08 10:29:14	Lower Honey Creek	United States	Iowa	Nearctic		42.016678	-93.900009			temperate broadleaf/mixed forest	secondary forest			10.65	-2.600	23.900	1220.0	bats	Perimyotis		subflavus	9		0.013373		5.63697692180364	"Pipistrellus subflavus"
111	265	John Alroy	Albert Garcia Selles	2013-04-08 10:29:14	Lower Honey Creek	United States	Iowa	Nearctic		42.016678	-93.900009			temperate broadleaf/mixed forest	secondary forest			10.65	-2.600	23.900	1220.0	bats	Eptesicus		fuscus	109		0.161961		17.1991968695187	
111	265	John Alroy	Albert Garcia Selles	2013-04-08 10:29:14	Lower Honey Creek	United States	Iowa	Nearctic		42.016678	-93.900009			temperate broadleaf/mixed forest	secondary forest			10.65	-2.600	23.900	1220.0	bats	Lasiurus		borealis	273		0.405646		11.505737518208	
111	265	John Alroy	Albert Garcia Selles	2013-04-08 10:29:14	Lower Honey Creek	United States	Iowa	Nearctic		42.016678	-93.900009			temperate broadleaf/mixed forest	secondary forest			10.65	-2.600	23.900	1220.0	bats	Lasiurus		cinereus	9		0.013373		20.6786166566328	
111	265	John Alroy	Albert Garcia Selles	2013-04-08 10:29:14	Lower Honey Creek	United States	Iowa	Nearctic		42.016678	-93.900009			temperate broadleaf/mixed forest	secondary forest			10.65	-2.600	23.900	1220.0	bats	Nycticeius		humeralis	9		0.013373		9.85257983150158	
111	266	John Alroy	Albert Garcia Selles	2013-04-08 10:32:35	McHose Park	United States	Iowa	Nearctic		42.050011	-93.883347			temperate broadleaf/mixed forest				10.65	-2.600	23.900	1220.0	bats	Myotis		lucifugus	27		0.033333		7.38192455932396	
111	266	John Alroy	Albert Garcia Selles	2013-04-08 10:32:35	McHose Park	United States	Iowa	Nearctic		42.050011	-93.883347			temperate broadleaf/mixed forest				10.65	-2.600	23.900	1220.0	bats	Myotis		keenii	43		0.053086		4.71188913487309	
111	266	John Alroy	Albert Garcia Selles	2013-04-08 10:32:35	McHose Park	United States	Iowa	Nearctic		42.050011	-93.883347			temperate broadleaf/mixed forest				10.65	-2.600	23.900	1220.0	bats	Lasionycteris		noctivagans	120		0.148148		10.0048612435133	
111	266	John Alroy	Albert Garcia Selles	2013-04-08 10:32:35	McHose Park	United States	Iowa	Nearctic		42.050011	-93.883347			temperate broadleaf/mixed forest				10.65	-2.600	23.900	1220.0	bats	Eptesicus		fuscus	347		0.428395		17.1991968695187	
111	266	John Alroy	Albert Garcia Selles	2013-04-08 10:32:35	McHose Park	United States	Iowa	Nearctic		42.050011	-93.883347			temperate broadleaf/mixed forest				10.65	-2.600	23.900	1220.0	bats	Lasiurus		borealis	230		0.283951		11.505737518208	
111	266	John Alroy	Albert Garcia Selles	2013-04-08 10:32:35	McHose Park	United States	Iowa	Nearctic		42.050011	-93.883347			temperate broadleaf/mixed forest				10.65	-2.600	23.900	1220.0	bats	Lasiurus		cinereus	43		0.053086		20.6786166566328	
112	267	John Alroy	Albert Garcia Selles	2014-07-10 21:54:33	Acadia National Park	United States	Maine	Nearctic		44.325008	-68.383347			temperate broadleaf/mixed forest		national/state park		5.75	-6.800	18.300	1390.0	bats	Myotis		lucifugus	123		0.556561		7.38192455932396	
112	267	John Alroy	Albert Garcia Selles	2014-07-10 21:54:33	Acadia National Park	United States	Maine	Nearctic		44.325008	-68.383347			temperate broadleaf/mixed forest		national/state park		5.75	-6.800	18.300	1390.0	bats	Myotis		septentrionalis	92		0.416290		6.64661168781079	
112	267	John Alroy	Albert Garcia Selles	2014-07-10 21:54:33	Acadia National Park	United States	Maine	Nearctic		44.325008	-68.383347			temperate broadleaf/mixed forest		national/state park		5.75	-6.800	18.300	1390.0	bats	Eptesicus		fuscus	4		0.018100		17.1991968695187	
112	267	John Alroy	Albert Garcia Selles	2014-07-10 21:54:33	Acadia National Park	United States	Maine	Nearctic		44.325008	-68.383347			temperate broadleaf/mixed forest		national/state park		5.75	-6.800	18.300	1390.0	bats	Lasiurus		cinereus	1		0.004525		20.6786166566328	
112	267	John Alroy	Albert Garcia Selles	2014-07-10 21:54:33	Acadia National Park	United States	Maine	Nearctic		44.325008	-68.383347			temperate broadleaf/mixed forest		national/state park		5.75	-6.800	18.300	1390.0	bats	Myotis		leibii	1		0.004525		4.37873452463914	
113	268	John Alroy	Albert Garcia Selles	2013-04-08 10:52:12	White Spot Spring	United States	Nevada	Nearctic	continent	36.500000	-115.000000	4460	feet	desert/xeric shrubland		wildlife protected area						bats	Parastrellus		hesperus	648		0.749133		3.7	"Pipistrellus hesperus"
113	268	John Alroy	Albert Garcia Selles	2013-04-08 10:52:12	White Spot Spring	United States	Nevada	Nearctic	continent	36.500000	-115.000000	4460	feet	desert/xeric shrubland		wildlife protected area						bats	Myotis		californicus	189		0.218497		4.05311665251656	
