BLK,PT,SR,MI,AAB,RB,CS,NS,CD,NM,,,,,,,,,,,
1,1,1,Pl,117.97,259.55,1300.17,112.74,248.36,118.63,,,,,,,,,,,
1,2,4,,279.55,413.95,1461.94,99.16,372.00,294.74,,,,,,,,,,,
1,3,2,,363.84,754.26,1851.04,134.06,351.74,232.22,,,,,,,,,,,
1,4,2,,157.98,1033.87,1606.66,122.61,411.59,222.99,,,,,,,,,,,
1,5,1,Ao,96.76,132.51,1382.18,106.20,275.47,138.97,,,,,,,,,,,
1,6,8,,342.67,750.76,1571.30,131.37,474.98,356.13,,,,,,,,,,,
1,7,1,Ac,242.98,806.39,1131.13,97.26,279.96,37.46,,,,,,,,,,,
1,8,4,,165.90,495.79,1375.51,109.73,407.50,282.52,,,,,,,,,,,
1,9,2,,162.67,446.72,1452.77,108.30,324.99,182.05,,,,,,,,,,,
1,10,4,,369.15,719.05,1712.45,133.55,427.31,305.22,,,,,,,,,,,
1,11,4,,144.71,604.37,1240.26,97.35,345.30,226.36,,,,,,,,,,,
1,12,2,,120.93,474.59,1334.09,107.63,310.57,226.65,,,,,,,,,,,
1,13,1,Ra,68.61,355.73,1321.42,109.62,266.87,102.85,,,,,,,,,,,
1,14,1,Cj,211.04,444.41,1713.43,137.23,303.37,222.33,,,,,,,,,,,
1,16,1,Hl,126.62,273.80,1325.75,113.55,383.39,167.54,,,,,,,,,,,
1,17,1,Fr,167.57,1274.03,1551.74,120.26,248.87,116.68,,,,,,,,,,,
1,18,1,Lv,59.40,63.23,1277.80,96.93,342.54,253.27,,,,,,,,,,,
2,1,2,,214.85,868.18,1760.36,133.06,550.00,259.98,,,,,,,,,,,
2,2,1,Pl,123.92,421.32,1306.53,112.02,371.60,64.02,,,,,,,,,,,
2,3,2,,159.99,999.53,1482.11,114.79,544.21,142.19,,,,,,,,,,,
2,4,1,Fr,136.40,575.83,1354.79,124.05,447.19,116.21,,,,,,,,,,,
2,5,8,,239.76,541.05,1588.59,133.72,469.26,246.49,,,,,,,,,,,
2,7,1,Ac,171.34,416.60,1276.06,110.34,505.89,176.76,,,,,,,,,,,
2,8,1,Lv,71.31,424.00,1542.94,120.71,294.39,148.40,,,,,,,,,,,
2,9,4,,180.85,306.64,1465.27,117.73,354.40,160.54,,,,,,,,,,,
2,10,2,,116.56,,1229.21,112.13,344.02,326.69,,,,,,,,,,,
2,11,1,Hl,146.84,,1263.85,111.24,294.09,198.73,,,,,,,,,,,
2,12,4,,400.71,746.98,1719.96,143.28,454.19,250.43,,,,,,,,,,,
2,13,1,Ao,95.94,203.19,1237.51,108.00,346.89,219.16,,,,,,,,,,,
2,14,4,,148.23,499.04,1453.34,124.66,466.12,507.77,,,,,,,,,,,
2,15,1,Cj,167.56,406.86,1389.46,101.50,385.44,37.25,,,,,,,,,,,
2,16,4,,323.05,510.90,1841.15,141.87,478.34,516.35,,,,,,,,,,,
2,17,2,,183.41,569.22,1409.27,108.42,418.95,177.54,,,,,,,,,,,
2,18,1,Ra,136.41,443.79,1652.17,124.86,333.88,130.29,,,,,,,,,,,
3,2,1,Ao,104.66,238.68,1323.51,108.66,291.73,198.54,,,,,,,,,,,
3,3,8,,230.64,738.76,1655.39,122.88,455.32,273.63,,,,,,,,,,,
3,4,2,,190.79,290.31,1597.48,123.99,420.87,175.53,,,,,,,,,,,
3,5,1,Lv,61.22,,1483.74,129.66,273.77,57.65,,,,,,,,,,,
3,6,4,,223.36,445.18,1687.14,141.11,460.20,177.44,,,,,,,,,,,
3,7,1,Ra,61.83,,1242.52,93.29,223.25,89.17,,,,,,,,,,,
3,8,1,Hl,116.72,,1242.17,97.70,259.96,126.62,,,,,,,,,,,
3,9,4,,285.18,431.04,1562.19,114.63,404.81,385.16,,,,,,,,,,,
3,10,2,,134.09,305.97,1340.96,110.84,445.29,239.02,,,,,,,,,,,
3,11,1,Fr,124.78,,1475.63,117.70,371.04,41.03,,,,,,,,,,,
3,12,1,Ac,183.12,,1248.64,103.38,281.26,143.54,,,,,,,,,,,
3,13,4,,121.48,481.46,1362.63,114.83,462.16,276.58,,,,,,,,,,,
3,14,1,Pl,99.77,,1351.55,106.14,279.14,113.81,,,,,,,,,,,
3,15,2,,245.96,319.85,1642.81,146.35,432.83,339.51,,,,,,,,,,,
3,16,1,Cj,301.58,604.82,1819.75,136.72,352.76,39.20,,,,,,,,,,,
3,17,2,,88.69,291.08,1435.72,119.92,315.03,208.37,,,,,,,,,,,
3,18,4,,199.12,345.20,1741.25,144.17,394.09,376.37,,,,,,,,,,,
4,1,1,Cj,328.77,1087.24,1441.62,108.61,476.37,352.41,,,,,,,,,,,
4,2,1,Hl,109.15,44.78,1182.29,94.75,250.30,131.73,,,,,,,,,,,
4,3,1,Fr,134.66,603.11,1286.33,105.06,411.42,179.89,,,,,,,,,,,
4,4,8,,259.57,1106.03,1575.29,119.98,549.55,531.76,,,,,,,,,,,
4,5,2,,223.46,517.96,1545.19,125.76,481.73,392.95,,,,,,,,,,,
4,7,4,,175.32,445.54,1659.83,130.86,423.72,480.31,,,,,,,,,,,
4,8,1,Pl,101.59,148.73,1301.19,99.39,339.21,183.69,,,,,,,,,,,
4,9,2,,173.96,386.32,1568.52,121.60,465.60,375.02,,,,,,,,,,,
4,10,2,,148.73,302.27,1649.45,128.27,445.47,286.88,,,,,,,,,,,
4,11,4,,339.93,420.89,1475.16,116.28,596.63,409.01,,,,,,,,,,,
4,12,1,Ra,122.51,332.45,1188.18,95.05,433.81,309.80,,,,,,,,,,,
4,13,2,,160.55,427.93,1495.30,124.05,394.97,444.39,,,,,,,,,,,
4,14,1,Ao,83.31,,1195.43,99.48,428.63,303.51,,,,,,,,,,,
4,15,1,Lv,63.37,197.47,1462.09,111.49,395.89,318.36,,,,,,,,,,,
4,16,4,,191.41,364.25,1725.88,139.63,380.91,233.64,,,,,,,,,,,
4,17,1,Ac,197.66,,1453.71,119.70,578.49,78.55,,,,,,,,,,,
4,18,4,,276.00,723.50,1658.60,133.29,551.94,353.12,,,,,,,,,,,
5,1,1,Hl,132.33,258.10,1547.48,129.78,,,,,,,,,,,,,
5,2,2,,249.86,674.69,1454.84,124.84,,,,,,,,,,,,,
5,3,1,Ao,107.36,286.92,1440.08,121.71,,,,,,,,,,,,,
5,4,2,,192.38,707.82,1245.06,101.17,,,,,,,,,,,,,
5,5,1,Fr,175.71,,1430.21,114.17,,,,,,,,,,,,,
5,6,4,,163.54,865.42,1422.73,120.05,,,,,,,,,,,,,
5,7,1,Ac,220.91,483.17,1482.76,123.73,,,,,,,,,,,,,
5,8,2,,272.47,338.10,1781.47,129.84,,,,,,,,,,,,,
5,9,4,,183.13,126.95,1428.30,112.13,,,,,,,,,,,,,
5,10,1,Pl,113.86,,1270.91,104.68,,,,,,,,,,,,,
5,11,1,Lv,85.50,386.13,1407.57,127.90,,,,,,,,,,,,,
5,12,8,,252.90,341.47,1537.65,122.28,,,,,,,,,,,,,
5,13,2,,188.72,374.96,1338.30,114.84,,,,,,,,,,,,,
5,14,4,,273.26,565.41,1637.52,125.11,,,,,,,,,,,,,
5,16,1,Ra,116.48,634.77,1457.99,113.06,,,,,,,,,,,,,
5,17,1,Cj,230.16,,1495.26,116.04,,,,,,,,,,,,,
5,18,4,,158.71,481.90,1745.68,141.21,,,,,,,,,,,,,
6,1,2,,151.68,219.62,1425.80,110.56,,,,,,,,,,,,,
6,2,1,Ao,111.34,,1424.98,117.38,,,,,,,,,,,,,
6,3,4,,217.15,653.08,1564.36,121.95,,,,,,,,,,,,,
6,4,2,,133.69,252.61,1518.15,119.56,,,,,,,,,,,,,
6,6,1,Fr,188.29,1335.07,1262.86,106.07,,,,,,,,,,,,,
6,7,4,,232.54,566.32,1589.41,118.11,,,,,,,,,,,,,
6,8,2,,157.82,233.04,1684.25,123.82,,,,,,,,,,,,,
6,9,1,Pl,137.14,320.38,1439.27,108.42,,,,,,,,,,,,,
6,10,1,Ac,199.91,219.69,1413.99,117.65,,,,,,,,,,,,,
6,11,1,Lv,88.68,,1841.24,137.79,,,,,,,,,,,,,
6,12,1,Hl,172.63,187.50,1389.22,106.75,,,,,,,,,,,,,
6,13,1,Cj,247.16,,1327.96,111.69,,,,,,,,,,,,,
6,14,1,Ra,64.77,,1150.83,84.22,,,,,,,,,,,,,
6,15,4,,120.23,,1317.18,101.71,,,,,,,,,,,,,
6,16,8,,217.46,629.20,1607.38,131.64,,,,,,,,,,,,,
6,17,2,,252.23,570.53,1497.05,109.82,,,,,,,,,,,,,
6,18,4,,240.49,382.32,1633.97,128.40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
