fieldfac;distance;adjacent.habitat;prop.efa;Wild pollinator visits;Honey bee visits;Local pollination potential;Predatory ground beetles;Predation;Parasitoids;Parasitism;Yield;number of insecticide applications;synthetic nitrogen fertilizer;number of crops in rotation;plant density;seeding density;residual yield;Field size;No. of herbicide applications;No. of fungicide applications;Length of crop rotation (years);Seeding date;Harvest date
ch.1;2;WL;18.96;108.00;96.00;0.16;83.00;0.43;18.00;0.20;5.75;4.00;190.00;5.00;51.00;38.00;-0.06;14007.54;1.00;2.00;5.00;22.08.2013;29.07.2014
ch.1;9;WL;18.96;68.00;105.00;0.06;17.00;0.27;16.00;0.11;5.99;4.00;190.00;5.00;56.00;38.00;-0.13;14007.54;1.00;2.00;5.00;22.08.2013;29.07.2014
ch.1;17;WL;18.96;60.00;152.00;0.12;27.00;0.17;6.00;0.29;6.70;4.00;190.00;5.00;51.00;38.00;0.58;14007.54;1.00;2.00;5.00;22.08.2013;29.07.2014
ch.1;25;WL;18.96;41.00;28.00;0.07;2.00;0.33;6.00;0.09;5.92;4.00;190.00;5.00;51.00;38.00;-0.20;14007.54;1.00;2.00;5.00;22.08.2013;29.07.2014
ch.10;2;HL;22.01;14.00;1240.00;0.20;51.00;0.03;7.00;0.05;5.78;3.00;153.00;3.00;35.00;55.00;0.17;10058.76;2.00;2.00;4.00;28.08.2013;17.07.2014
ch.10;9;HL;22.01;76.00;2162.00;0.18;119.00;0.40;12.00;0.00;5.81;3.00;153.00;3.00;44.00;55.00;0.20;10058.76;2.00;2.00;4.00;28.08.2013;17.07.2014
ch.10;17;HL;22.01;27.00;1760.00;0.12;66.00;0.32;10.00;0.00;5.05;3.00;153.00;3.00;38.00;55.00;0.01;10058.76;2.00;2.00;4.00;28.08.2013;17.07.2014
ch.10;25;HL;22.01;68.00;939.00;0.18;156.00;0.17;33.00;0.03;4.84;3.00;153.00;3.00;39.00;55.00;-0.20;10058.76;2.00;2.00;4.00;28.08.2013;17.07.2014
ch.11;2;HL;10.53;29.00;39.00;0.21;33.00;0.00;41.00;0.00;1.51;0.00;55.00;3.00;30.00;50.00;-0.85;13238.64;0.00;0.00;4.00;05.09.2013;17.07.2014
ch.11;9;HL;10.53;16.00;40.00;0.31;74.00;0.50;16.00;0.00;3.41;0.00;55.00;3.00;37.00;50.00;1.05;13238.64;0.00;0.00;4.00;05.09.2013;17.07.2014
ch.11;17;HL;10.53;7.00;11.00;0.00;64.00;0.18;7.00;0.10;0.64;0.00;55.00;3.00;44.00;50.00;-1.07;13238.64;0.00;0.00;4.00;05.09.2013;17.07.2014
ch.11;25;HL;10.53;15.00;96.00;0.00;37.00;0.23;10.00;0.09;2.35;0.00;55.00;3.00;59.00;50.00;0.64;13238.64;0.00;0.00;4.00;05.09.2013;17.07.2014
ch.12;2;HL;16.89;178.00;189.00;0.19;39.00;0.10;139.00;0.20;5.12;0.00;0.00;3.00;61.00;25.00;-0.16;12431.79;0.00;0.00;4.00;08.09.2013;02.08.2014
ch.12;9;HL;16.89;117.00;169.00;0.17;94.00;0.39;45.00;0.15;5.61;0.00;0.00;3.00;63.00;25.00;0.33;12431.79;0.00;0.00;4.00;08.09.2013;02.08.2014
ch.12;17;HL;16.89;82.00;138.00;0.28;158.00;0.00;25.00;0.00;5.23;0.00;0.00;3.00;73.00;25.00;-0.28;12431.79;0.00;0.00;4.00;08.09.2013;02.08.2014
ch.12;25;HL;16.89;38.00;143.00;0.07;35.00;0.18;11.00;0.07;6.19;0.00;0.00;3.00;57.00;25.00;0.68;12431.79;0.00;0.00;4.00;08.09.2013;02.08.2014
ch.13;2;CO;20.59;12.00;520.00;0.00;152.00;0.11;107.00;0.18;2.49;2.00;90.00;4.00;39.00;50.00;-0.30;16659.04;2.00;0.00;4.00;03.09.2013;16.07.2014
ch.13;9;CO;20.59;5.00;922.00;0.00;128.00;0.18;38.00;0.31;3.55;2.00;90.00;4.00;31.00;50.00;0.76;16659.04;2.00;0.00;4.00;03.09.2013;16.07.2014
ch.13;17;CO;20.59;6.00;1103.00;0.00;96.00;0.29;34.00;0.08;2.18;2.00;90.00;4.00;33.00;50.00;-0.61;16659.04;2.00;0.00;4.00;03.09.2013;16.07.2014
ch.13;25;CO;20.59;13.00;833.00;0.04;299.00;0.00;29.00;0.00;2.68;2.00;90.00;4.00;46.00;50.00;-0.14;16659.04;2.00;0.00;4.00;03.09.2013;16.07.2014
ch.14;2;CO;20.16;5.00;715.00;0.13;28.00;0.05;733.00;0.05;3.21;3.00;52.00;4.00;64.00;43.00;-0.37;12374.01;1.00;0.00;4.00;03.09.2013;18.07.2014
ch.14;9;CO;20.16;12.00;488.00;0.08;33.00;0.27;115.00;0.11;3.60;3.00;52.00;4.00;50.00;43.00;0.02;12374.01;1.00;0.00;4.00;03.09.2013;18.07.2014
ch.14;17;CO;20.16;9.00;395.00;0.11;107.00;0.28;135.00;0.00;3.72;3.00;52.00;4.00;104.00;43.00;0.14;12374.01;1.00;0.00;4.00;03.09.2013;18.07.2014
ch.14;25;CO;20.16;12.00;540.00;0.00;86.00;0.14;164.00;0.02;3.80;3.00;52.00;4.00;81.00;43.00;-0.01;12374.01;1.00;0.00;4.00;03.09.2013;18.07.2014
ch.15;2;CO;26.15;7.00;201.00;0.00;66.00;0.20;26.00;0.11;3.35;2.00;130.00;4.00;55.00;50.00;-0.44;14955.05;1.00;1.00;4.00;31.08.2013;16.07.2014
ch.15;9;CO;26.15;72.00;306.00;0.33;154.00;0.24;22.00;0.14;3.89;2.00;130.00;4.00;48.00;50.00;0.10;14955.05;1.00;1.00;4.00;31.08.2013;16.07.2014
ch.15;17;CO;26.15;15.00;209.00;0.13;144.00;0.06;23.00;0.02;3.75;2.00;130.00;4.00;50.00;50.00;-0.04;14955.05;1.00;1.00;4.00;31.08.2013;16.07.2014
