Nest_ID,Transect_ID,species,Scientific_name,Season,Habitat_type,Month,Year
id1,A_1,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,December,2009
id2,A_1,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,December,2009
id3,A_1,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,December,2009
id4,A_1,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,December,2009
id5,A_1,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,December,2009
id6,A_2,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,December,2009
id7,A_2,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,December,2009
id8,A_2,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Old secondary forest,December,2009
id9,A_8,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,December,2009
id10,A_8,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,December,2009
id11,A_8,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,December,2009
id12,A_10,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,December,2009
id13,A_9,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Riparian forest,December,2009
id14,A_4,Gorilla,Gorilla gorilla gorilla,Long-Dry season,Light gap,January,2010
id15,A_4,Gorilla,Gorilla gorilla gorilla,Long-Dry season,Light gap,January,2010
id16,A_8,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,January,2010
id17,A_8,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,January,2010
id18,A_8,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,January,2010
id19,A_8,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,January,2010
id20,A_8,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,January,2010
id21,A_8,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,January,2010
id22,A_9,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Old secondary forest,January,2010
id23,A_10,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,January,2010
id24,A_10,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,January,2010
id25,A_10,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,January,2010
id26,A_8,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,January,2010
id27,A_9,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,January,2010
id28,A_9,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,January,2010
id29,A_9,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,January,2010
id30,A_9,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,January,2010
id31,A_9,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,January,2010
id32,A_9,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,January,2010
id33,A_9,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Swamp,January,2010
id34,A_4,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,February,2010
id35,A_4,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,February,2010
id36,A_4,Gorilla,Gorilla gorilla gorilla,Long-Dry season,Young segondary forest,February,2010
id37,A_8,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,February,2010
id38,A_9,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,February,2010
id39,A_9,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,February,2010
id40,A_10,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,February,2010
id41,A_10,Chimpanzee,Pan troglodytes troglodytes,Long-Dry season,Near primary forest,February,2010
id200,A_10,Gorilla,Gorilla gorilla gorilla,Long-Rainy season,Swamp,April,2009
id201,A_10,Gorilla,Gorilla gorilla gorilla,Long-Rainy season,Swamp,April,2009
id202,A_10,Gorilla,Gorilla gorilla gorilla,Long-Rainy season,Swamp,April,2009
id203,A_10,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,April,2009
id204,A_1,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Swamp,April,2009
id205,A_5,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,April,2009
id206,A_5,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,April,2009
id207,A_5,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,April,2009
id208,A_2,Gorilla,Gorilla gorilla gorilla,Long-Rainy season,Swamp,April,2009
id209,A_8,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,April,2009
id210,A_8,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,April,2009
id211,A_1,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id212,A_1,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id213,A_1,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id214,A_1,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id215,A_5,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,March,2010
id216,A_5,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,March,2010
id217,A_5,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,March,2010
id218,A_6,Gorilla,Gorilla gorilla gorilla,Long-Rainy season,Swamp,March,2010
id219,A_1,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Riparian forest,May,2009
id220,A_8,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Near primary forest,March,2010
id221,A_9,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Near primary forest,March,2010
id222,A_10,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,March,2010
id223,A_3,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,April,2009
id224,A_2,Gorilla,Gorilla gorilla gorilla,Long-Rainy season,Swamp,May,2009
id225,A_3,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id226,A_3,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id227,A_3,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id228,A_4,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id229,A_4,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id230,A_4,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id231,A_4,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id232,A_4,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id233,A_1,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id234,A_4,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,April,2009
id235,A_1,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id236,A_2,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id237,A_3,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
id238,A_4,Gorilla,Gorilla gorilla gorilla,Long-Rainy season,Swamp,May,2009
id239,A_5,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Near primary forest,May,2009
id240,A_6,Chimpanzee,Pan troglodytes troglodytes,Long-Rainy season,Old secondary forest,May,2009
